year,party_id,party,eu_position,eu_blur,lrgen,galtan,lrecon,redistribution
2019,1102,LAB,4,7.25,1.941176414489746,2.29411768913269,1.941176414489746,1.588235259056091
2019,1106,PLAID,6.230769157409668,1.6,3.090909004211426,3,3.363636255264282,3.090909004211426
2019,1101,CONS,1.529411792755127,1.5555556,7.117647171020508,6.176470756530762,7.058823585510254,6.647058963775635
2014,1209,MPT,3.400000095367432,NA,6.75,6.333333492279053,7,3
2019,1210,PCP,2.75,3,0.875,5.125,0.75,0.8571428656578064
2019,1205,PS,6.75,1.75,4.125,4.375,4,3.857142925262451
2019,1201,CDU,2.375,4.5,0.875,5.125,0.625,0.8571428656578064
2019,1211,PEV,3,5,1.142857193946838,4.875,1.285714268684387,1.166666626930237
2019,1250,PAN,4.166666507720947,6.6666665,3.428571462631226,4,3.833333253860474,2.799999952316284
2019,1208,BE,3.75,4.75,0.875,1.75,1,1.428571462631226
2019,1202,CDS/PP,5.875,3.5,8.5,8.875,8.5,6.857142925262451
2019,1206,PSD,6.75,2,6.375,7,6.5,6.285714149475098
2010,1308,MARTIN,3.833333253860474,NA,4.777777671813965,5,3.714285850524902,4.199999809265137
2014,1307,BZO,2.700000047683716,NA,7.800000190734863,7.199999809265137,7.199999809265137,6.300000190734863
2014,1310,TeamStronach,2.900000095367432,NA,7.599999904632568,7.199999809265137,7.900000095367432,8.142857551574707
2019,1303,FPO,2.299999952316284,4.25,9.100000381469728,8.899999618530273,6.5,5.599999904632568
2019,1301,SPO,6.099999904632568,3.625,4,3.799999952316284,3.599999904632568,2.400000095367432
2019,1302,OVP,5,4.5,6.900000095367432,7.099999904632568,6.900000095367432,6.199999809265137
2019,1306,NEOS,6.699999809265137,1.5,5.900000095367432,2.299999952316284,7.099999904632568,6.900000095367432
2019,1304,Grune,6.5,1.625,2.5,1.399999976158142,2.5,2.5
1999,1413,KIPU,2.5,NA,4.75,3.75,4.5,NA
1999,1411,SEP/EKA,2.5,NA,6.333333492279053,7.75,5.666666507720947,NA
1999,1412,REM,4,NA,6.599999904632568,6.800000190734863,5.800000190734863,NA
